2014-10-05 23:06:02,770 INFO START - Beginning the parse
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,308 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,309 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
2014-10-05 23:06:04,310 INFO Created tuple for (origin, destination)
